Kaite Tukutte Asoberu Dezaemon;dezae
Darius Force (Super Nova);df
Dossun! Ganseki Battle;dgb
Dharma Doujou;dhdo
Dino City;dici
Dimension Force;difo
Dirt Racer;dirt
Kinnikuman - Dirty Challenger;dirty
Derby Jockey;dj
Derby Jockey 2;dj2
Donkey Kong (Super Gameboy);dk
Dragon Knight 4;dk4
Donkey Kong Country;dkc
Donkey Kong Country 3;dkdt
Dai Kaiju Monogatari;dkm
Donkey Kong Country 2;dkq
Doukyuusei 2;dks2
Date Kimiko no Virtual Tennis;dkvt
Dolucky's Kusa Yakyu;dky
Der Langrisser;dl
Demon of Laplace;dlp
Dolucky no Puzzle Tour '94;dlpt
Dungeon Master;dm
Dream Maze - Kigurumi Daibouken;dmkd
Downtown Nekketsu Baseball Monogatari;dnbm
Dual Orb;do
Dual Orb 2;do2
Arkanoid - Doh it Again;doh
Dokapon 321;doka
Doom;doom
Doraemon;dor
Doraemon 2;dor2
Doraemon 3;dor3
Doraemon 4;dor4
Dragon Quest 1 & 2;dq12
Dragon Quest 3;dq3
Dragon Quest 5;dq5
Dragon Quest 6;dq6
Dorque and Imp;dqai
Dragon's Earth;drea
Adventures of Dr. Franken;drf
Drakkhen;drk
Dragon's Lair;drla
BS Do-Re-Mi;drm
Do-Re-Mi Fantasy - Milon no DokiDoki Daibouken;drmf
Star Trek Deep Space Nine - The Crossroads of Time;ds9
Dragon Slayer - The Legend of Heroes;dslh
Desert Strike - Return to the Gulf;dsrg
DynamiTracer;dt
Deae Tonosama Appare Ichiban;dtai
Dirt Trax FX;dtfx
Dynamaite - The LasVegas;dtlv
Dennis the Menace;dtm
Doom Troopers;dtr
Dream TV;dtv
Down the World;dtw
Darius Twin;dtwin
Dun Quest;dunq
Dragon View (Drakkhen 2);dv
Road Runner's Death Valley Rally;dvr
Dracula X (Castlevania V - Vampire's Kiss);dx
Earth Light;earl
Energy Breaker;eb
ESPN Baseball Tonight;ebt
Estpolis Denki (Lufia and the Fortress of Doom);ed
Lufia 2 - Rise of the Sinistrals;ed2
Super E.D.F. - Earth Defense Force;edf
Edo no Kiba;edk
Exhaust Heat;eh
Exhaust Heat 2;eh2
ESPN National Hockey Night;ehn
Sangokushi Eiketsu Den;eikt
Elfaria;elf
Elfaria 2;elf2
Emerald Dragon;emd
Eien no Filena;enf
Eye of the Beholder;eotb
Equinox (Solstice II);eq
Elite Soccer;esc
Emmitt Smith Football;esf
ESPN Sunday Night NFL;espns
Esparks - Ijikuu kara no Raihousha;esprk
ESPN Speedworld;espw
EEK! The Cat;etc
Eurit;eurit
E.V.O. - Search for Eden;evo
Earthworm Jim;ewj
Earthworm Jim 2;ewj2
F-1 Grand Prix;f1gp
F-1 Grand Prix Part II;f1gp2
F-1 Grand Prix Part III;f1gp3
F1 World Championship Edition;f1wc
Gundam F-91;f91
FIFA Soccer '97 (Super Gameboy);f97gb
FIFA Soccer '98 (Super Gameboy);f98gb
Family Dog;famd
Faceball 2000;fb
Ren & Stimpy Show - Fire Dogs;fdogs
Fight da Pon!;fdp
Fire Emblem - Mystery of the Emblem;fe3
Fire Emblem - Genealogy of Holy-War;fe4
Tengai Makyo Zero (Far East of Eden Zero);feoez
Fire Emblem Thracia 776;fet
Family Feud;feud
Final Fantasy 4;ff4
Final Fantasy V;ff5
Final Fantasy 6;ff6
Final Fight;ffi
Final Fight 2;ffi2
Final Fight 3;ffi3
Frantic Flea;fflea
Final Fantasy USA - Mystic Quest;ffmq
Foreman For Real;ffr
Fatal Fury;ffu
Fatal Fury 2;ffu2
Fatal Fury Special;ffus
Future GPX - Cyber Formula;fgpx
Fighter's History;fh
Fighter's History 2;fh2
Flying Hero - Bugyuru no Daibouken;fhbd
Firemen, The;fir
Firearm;firea
Flintstones;flint
Flashback;fls
Front Mission;fm
Onita Atsushi FMW;fmw
Fun 'N Games;fng
Football Fury;footf
Super Fire Pro Wrestling X;fpwx
First Queen;fq
Frogger;frgr
FrogNES;frog
First Samurai;frsa
Farland Story;fs
Farland Story 2;fs2
FIFA Soccer '96;fs96
FIFA 97 - Gold Edition;fs97
Fire Striker;fsr
Finalset Tennis;fst
Final Stretch;fstr
Masaki Shimono no Fishing To Bassing;ftb
Famicom Tantei Club 2;ftc2
Fireteam Rogue;ftm
Full Throttle Racing;ftr
From TV Animation Slam Dunk;ftsd
From TV Animation Slam Dunk 2;ftsd2
From TV Animation Slam Dunk - SD Heat Up!;ftsdh
Flintstones - Treasure of Sierra Madrock;ftsm
BS Furoito no Chousenjou;furo
F-Zero;fz
Inspector Gadget;gadg
Game Genie;gage
Gamars Copier;gam
Gamble Hourouki;gambh
Great Battle 3;gb3
Great Battle IV, The;gb4
Great Battle 5;gb5
Great Battle Gaiden 2;gbg2
Kuusou Kagaku Sekai Gulliver Boy;gboy
Gokinjo Bouken Tai;gbt
Ghost Chaser Densei;gcd
Gradius 3;gd3
GD Leen;gdl
Ganbare Daiku no Gensan;gdng
Ginga Eiyuu Densetsu;ged
BS Gekkan Coin Toss Deck;gek
Genocide 2;gen2
Genjuu Ryodan;genjr
George Foreman's KO Boxing;gfko
Ganbare Goemon (Legend of the Mystical Ninja);gg
Ganbare Goemon 2 - Kiteretsu Shogun Magginesu!;gg2
Ganbare Goemon 3 - Shishi Juroku Hyoe no Karakuri Manji Katame!;gg3
Ganbare Goemon 4 - Kirakira Douchuu;gg4
Go Go Ackman;gga
Go Go Ackman 2;gga2
Go Go Ackman 3;gga3
Go! Go! Dodge League;ggdl
Gan Gan Ganchan;ggg
Gamera - Gyaosu Gekimetsu Sakusen;gggs
Front Mission - Gun Hazard;gh
Granhistoria;ghis
Ghoul Patrol;ghoul
Gionbana;gion
Gambler Jiko Chuushinha 2 - Dorapon Quest;gjc2
Super Aoki Ookami to Shiroki Mejika - Genchou Hishi (Genghis Khan 2 - Clan of the Grey Wolf);gk2
Godzilla - Kaijuu Daikessen;gkd
Gakko de atta Kowai Hanashi;gkh
Getsumen no Anubis;gna
Gegege no Kitaro;gnk
Gunple - Gunman's Proof;gnpl
G.O.D. - Mezameyo to Yobu Koe ha Kikoe;god
Gods;gods
Gokujyo Parodius (Parodius 2);gp
Gp-1;gp1
GP-1 Part II;gp1p2
BS Goods Press 7;gpgg7
BS Goods Press 3;gpggs
Ganso Pachinko Ou;gpo
Galaxy Robo;grobo
Shinzui Taikyoku Igo Go Sennin;gs
Gourmet Sentai Bara Yarou;gsby
Ginga Sengoku Gunyuuden Rai;gsgr
Ghost Sweeper Mikami - Gokuraku Daisakusen;gsm
Goof Troop;gt
GT Racing;gtr
Gun Force;gunf
Nickelodeon GUTS;guts
Galaxy Wars;gw
Gundam Wing - Endless Duel;gwed
Hisshou 777 Fighter;h7f
Hisshou 777 Fighter II;h7f2
Hisshou 777 Fighter III;h7f3
Home Alone;ha
Home Alone 2;ha2
Hagane;hag
Hanjuku Hero;hahe
Hajimari no Mori (The Forest of Beginnings);haji
Harapeko Bakka;hb
Hardball 3;hb3
Hanna Barbera's Turbo Toons;hbtt
Hiouden - Mamono Tachi Tono Chikai;hdn
Heracles no Eikou III;he3
Heracles no Eikou IV - Kamigami kara no Okurimono;he4
Hercules (Super Gameboy);herc
Hanafuda;hf
Hanafuda Ou;hfo
Hourai Gakuen no Bouken;hgb
Human Grand Prix;hgp
Human Grand Prix 2;hgp2
Human Grand Prix 3;hgp3
Human Grand Prix 4;hgp4
Heisei Gunjin Shougi;hgs
Harley's Humongous Adventure;hha
Heian Huunden;hhu
Honkakuha Igo - Gosei;higo
Home Improvement;himp
Hokuto no Ken 5;hk5
Hokuto no Ken 6;hk6
Hokuto no Ken 7;hk7
Hong Kong 97;hk97
Hiryu no Ken S - Golden Fighter;hkgf
Honkaku Mahjong Tetsuman;hmat
Habu Meijin no Omoshiro Shougi;hmos
Haisei Mahjong Ryouga;hmr
Hunchback of Notre Dame (Super Gameboy);hnd
Honoo no Toukyuuji - Dodge Danpei;hndd
Hayazashi Nidan - Morita Shogi;hnms
Hebereke no Popun;hnp
Hook;hook
Hebereke no Oishii Puzzle wa Irimasekna;hopi
Head-On Soccer;hos
Hakunetsu Pro Yakyuu '93 - Ganba League;hp93
Hakunetsu Pro Yakyuu '94 - Ganba League 3;hp94
Hakunetsu Pro Yakyuu - Ganba League;hpgl
Hunt for Red October;hro
Hero Senki;hs
Honkaku Shougi Fuuunji Ryuuou;hsfr
Hashire Hebereke;hsh
Hurricanes Trainer;ht
Hat Trick Hero 2;hth2
Hit the Ice;hti
Holy Umbrella;hu
Incredible Hulk, The;hulk
Humans;human
Hurricanes;hurr
Hyper V-Ball (Super Volley II);hvbsv
Hyper Iria;hyir
Hysteria;hyst
Hansei Zarujirou Kun no Daibouken (Spanky's Quest);hzkd
Hyper Zone;hzone
Iron Commando;icom
Idea no Hi;idea
Ignition Factor;igf
Igo Club;igoc
Itou Hatasu Rokudan no Shougi Dojo;ihrsd
Indiana Jones' Greatest Adventures;ijga
Ihatovo Monogatari;im
Imperium;imp
Incantation;inca
Inindo - Way of the Ninja (Super Inindo - Datou Nobunaga);ini
Illvanian no Shiro;ins
Illusion of Gaia;iog
Ippatsu Gyakuten - Keiba Keirin Kyotei;ipgt
Itadaki Street 2;is2
Inazuma Serve da!!;isbv
Itchy and Scratchy Game;isg
International Superstar Soccer;iss
International Superstar Soccer Deluxe;issdx
International Tennis Tour;itt
Izzy's Quest for the Olympic Rings;izzy
Jammit;jamit
Jungle Book, The;jbook
Jelly Boy;jboy
Jelly Boy 2;jboy2
Jaleco Rally Big Run - The Supreme 4WD Challenge;jbrr
Jaki Crush;jc
Jimmy Connors Pro Tennis Tour;jcptt
Judge Dredd;jd
Jeopardy!;jeop
Jerry Boy (Smartball);jerry
Jetsons - Invasion of the Planet Pirates;jets
Janyuuki Gokuu Randa;jgk
Jissen Kyotei;jkyo
J League Excite Stage '94;jle94
J-League Excite Stage '95;jle95
J-League Soccer Prime Goal;jlpg
J-League Soccer Prime Goal 2;jlpg2
J-League Soccer Prime Goal 3;jlpg3
J-League Super Soccer '95;jls95
J-League Super Soccer (Virtual Soccer);jlss
Jim Lee's Wild C.A.T.S.;jlwc
Joe and Mac;jm
Joe and Mac 2;jm2
Jissen! Mahjong Shinan;jmahs
John Madden Football;jmf
Jim Power;jmpwr
Jammes;jms
Jack Nicklaus Golf;jng
HAL's Hole in One Golf;joho
Jojo no Kimyou na Bouken;jojo
Jikkyou Oshaberi Parodius (Parodius 3);jop
Jungle no Ojya Tachan;jot
Jurassic Park;jp
Jurassic Park 2;jp2
Jissen Pachinko Hisshouhou! 2;jph2
Jikkyou Powerful Pro Yakyuu 3;jppy3
Jutei Senki;js
Jungle Strike;jst
Justice League Task Force;jstcl
Jumpin' Derby;jumpd
Jungle Wars 2;jw2
Kirby's Avalanche;ka
King Arthur and the Knights of Justice;kakj
BS Gal Kan Bazooka Dai-5-Kan;kan
Kabuki Rocks;karo
King Arthur's World;kaw
Kidou Butoden G-Gundam;kbgg
Kablooey;kbly
Kawasaki Caribbean Challenge;kcc
Kingyo Chuihou! Tobidase Game Gakuen;kctgg
Kunio-Kun no Dodgeball;kdb
Kirby's Dream Course;kdc
Kirby's Dream Land 3;kdl3
Kenyu Densetsu Yaiba;kdy
Kishin Douji Zenki;kdz
Kishin Douji Zenki - Denei Raibu;kdz2
Kishin Douji Zenki 3;kdz3
Keeper;keep
Keiba Eight Special 2;kesp2
Ken Griffey Jr. Presents - Major League Baseball;kgjb
Koi ha Balance - Battle of Lovers;khb
Katou Hifumi Kudan Shougi Club;khksc
Killer Instinct;ki
Kiki Kaikai (Pocky & Rocky);kiki
Kiki Kaikai 3 (Pocky & Rocky 2);kiki3
Kerokero Keroppi no Bouken Nikki;kkbn
Kirby's Kira Kira Kids;kkk
Kishin Korinden Oni;kko
Kidou Keisatsu Patlabor;kkp
Kevin Keegan's Player Manager;kkpm
Kid Klown in Crazy Chase;klown
King of the Monsters;km
King of the Monsters 2;km2
Kikuni Masahiko no Jantoushi Dora Ou;kmjdo
Kindai Mahjong Special;kmsp
Kyuuyaku Megami Tensei;kmt
Kouryu no Mimi;knm
Kunio no Oden;kno
BS Kirby no Omocha Hako - Baseball;knoh
Kirby no Omochabako - Hoshi Kuzushi;knok
Kawa no Nushi Tsuri 2;knt2
Kamaitachi no Yoru;kny
Kick Off;ko
Kick Off 3;ko3
King of Dragons, The;kod
Konae-Chan no DokiDoki Pengin Kazoku;konae
King of Rally, The;kor
Knights of the Round;kotr
Kamen Rider;kr
Kabuki-chou Reach Mahjong Tonpuu Sen;krmt
Kamen Rider SD - Shutsugeki!! Rider Machine;krsd
Kouryuuki;kryk
Kawasaki Superbike Challenge;ksc
Krusty's Super Funhouse;ksfh
Kakinoki Shougi;ksh
Koushien 2;ksn2
Koushien 3;ksn3
Kirby Super Star;kss
Shigetaka Kashiwagi's Top Water Bassing;kstwb
Kidou Senshi V Gundam;ksvg
Shin Nekketsu Kouha - Kunio Tachi no Bannka;ktb
Kaizou Tyoujin Shubibinman Zero;ktsz
Keiba Yosou - Baken Renkinjutsu;kybr
Lagoon;lag
Last Action Hero;lah
Live A Live;lal
Lamborghini American Challenge;lambo
La Wares;lawa
Last Bible 3;lb3
Lady Stalker;ldst
Legend;leg
Lemmings;lem
Lemmings 2;lem2
Lethal Enforcers;len
Lethal Weapon;lethw
Last Fighter Twin;lft
Libble Rabble;libl
Light Fantasy;lifa
Lion King, The;lion
Lucky Luke;ll
Lord Monarch;lm
Little Magic;lmag
Little Master;lmas
Lawnmower Man, The;lmm
Paladin's Quest (Lennus);ln
Lennus 2;ln2
Liberty or Death;lod
Logos Panic;lopa
Legend of Zelda - A Link to the Past, The;loz3
Lode Runner Twin;lrt
Looney Tunes Basketball;ltbb
Lester the Unlikely;ltul
Out to Lunch;lunch
Lupin the 3rd;lupin
Love Quest;lvqst
Madden NFL '94;m94
Madden NFL '95;m95
Madden NFL '96;m96
Madden NFL '97;m97
Madden '97 (Super Gameboy);m97gb
Madden NFL '98;m98
M.A.C.S. Basic Rifle Simulator;macs
Magna Braban;magna
Mahjong Club;mahcl
Majyuuou;maj
Mahjong Touhaiden, The;majt
Madou Monogatari;mam
Makeruna Makendou (Kendo Rage);mama
Makeruna Makendou 2;mama2
7th Saga 2 - Mystic Ark;mark
Daffy Duck - The Marvin Missions;marv
Mask, The;mask
Math Blaster - Episode One;mathb
Maui Mallard in Cold Shadow;maui
Mario & Wario;mawa
Mazinger Z;mazz
Magicboy;mboy
Metal Combat - Falcon's Revenge;mc
Magical Drop;mcdp
Magical Drop 2;mcdp2
Miracle Casino Paradise;mcp
Magic Sword;mcsd
Mechwarrior;mcwr
Mechwarrior 3050;mcwr3
Momotarou Dentetsu Happy;mdh
Madara 2;mdr2
Youchien Senki Madara Saga;mdrs
Metal Marines;mema
Metal Morph;memo
Miracle Girls;mg
Magical Pop'n;mgp
Mahjong Gokuu Tenjiku;mgt
Mohawk and Headphone Jack;mhj
Mahjong Hishouden - Naki no Ryuu;mhnr
Milandra;mil
BS Dan Dan Belt Conveyor Milk no Maki;milk
Mario is Missing;mim
Micro Machines;mima
Micro Machines 2;mima2
Michael Jordan - Chaos in the Windy City;mjcwc
Magic Johnson's Super Slam Dunk;mjssd
Mortal Kombat;mk
Mortal Kombat 2;mk2
Mortal Kombat 3 (Ultimate Mortal Kombat);mk3
Matsumura Kunihiro Den;mkh
Maka Maka;mkmk
Mahou Kishi Reiasu (Magic Knight Rayearth);mkr
Mega-Lo-Mania;mlm
Mickey Mania - The Timeless Adventures of Mickey Mouse;mm
Might and Magic 2 (European Version);mm2
Might and Magic 2 (Japanese Version);mm2j
Might and Magic 3;mm3
Mega Man 7;mm7
Mighty Max;mmax
Metal Max 2;mmax2
Metal Max Returns;mmaxr
Marko's Magic Football;mmf
Mick & Mack as the Global Gladiators;mmgg
Megaman Soccer;mms
Mega Man X;mmx
Mega Man X2;mmx2
Mega Man X3;mmx3
Earthbound (Mother 2);mo2
Modular Escape;mode
Monstania;mon
Monopoly (Western version);mono
Monopoly 2;mp2
Monopoly (Japanese Version);mpjp
Ms. Pac-Man;mpm
Mario Paint;mpnt
Mahou Poi Poi Poitto!;mppp
Magical Quest starring Mickey Mouse, The;mq
Magical Quest 2 - The Great Circus Mystery, The;mq2
Magical Quest 3, The;mq3
Mr. Do;mrdo
Melfand Stories;ms
Mary Shelley's Frankenstein;msfr
Metal Slader Glory - Director's Cut;msg
Mario's Super Picross;msp
Majin Tensei;mt
Majin Tensei 2;mt2
Maten Densetsu;mtd
Mario's Time Machine;mtm
Magical Taruruto Kun;mtma
Multi-Play Volleyball;mtpvb
Mickey's Ultimate Challenge;muc
Manchester United Championship Soccer;mucs
Mulan (Super Gameboy);mulan
Gousou Jinrai Densetsu Musya (Musya - Imoto's Saga);musya
Marvelous;mvls
Metal Warriors;mw
Motoko-chan no Wonder Kitchen;mwk
Mystery Circle;myc
Mini Yonku Shining Scorpion;myss
BS Nintendo HP 5-17;n517
BS Nintendo HP 5-31;n531
Nichibutsu Arcade Classics;nac
Nichibutsu Arcade Classics 2;nac2
NBA All-Star Challenge;nasc
Naruhodo The World;nawo
NBA Live '97;nba97
NBA Live '98;nba98
NBA Give 'N Go (NBA Jikkyou Basket Winning Dunk);nbagg
NBA Hang Time;nbah
NBA Jam;nbaj
Nobunaga no Yabou Busyo Fuunroku;nbb
Nobunaga no Yabou Haouden;nbh
Nobunaga no Yabou Tenshouki;nbt
Nobunaga no Yabou Zenkokuban (Nobunaga's Ambition);nbz
NCAA Football;ncaaf
NCAA Basketball;ncab
Natsuki Crisis Battle;ncb
No Escape;ne
Neugier;neu
Nosferatu;nf
NFL Football;nfb
NCAA Final Four Basketball;nffb
Ninja Gaiden Triology;ngt
Newman-Haas Indy Car Racing;nhic
NHL Stanley Cup;nhlsc
Nightmare Busters (Beta);nibus
Nigel Mansell's World Championship Racing;nigel
Nontan to Issyo Kuru Kuru Puzzle;nikk
NBA Jam Tournament Edition;njte
Nage Libre;nl
Asameshimae Nyanko;nnk
Nintendo Power Menu Program;npmp
NFL Quarterback Club;nqc
NFL Quarterback Club '96;nqc96
Network Q Rally;nqr
Nolan Ryan's Baseball;nrbb
Nangoku Syonen Papuwa Kun;nspk
Nekketsu Tairiku Burning Heroes;ntbh
Numbers Paradise;nump
Mr. Nutz;nutz
N-Warp Daisakusen;nwd
New Yatterman;ny
Okamoto Ayako to Match Play Golf;oampg
Ohmono Black Bass Fishing - Jinzouko Hen (Mark Davis' The Fishing Master);obbf
Out of Bounds Golf;obg
Obitus;obi
Oda Nobunaga - Haou no Gundan;odanb
Oekaki Logic;oelo
Operation Europe - Path to Victory;oeptv
Super Off Road;off
Ogre Battle;ogre
Otogirisou;ogs
Super Okuman Tyoja Game;okutg
Operation Logic Bomb;olb
Olivia no Mystery;olim
Otoboke Ninja Colosseum;onc
O-chan no Oekaki Logic;ool
Ozumou Tamashii;oozta
Oraga Land Shusai;osbs
Oscar;oscar
Olympic Summer Games;osg
Olympic Summer Games (Super Gameboy);osggb
Operation Thunderbolt;othnd
Othello World;othw
Ongaku Tukuoolu Kanadeeru;otk
Outlander;otld
Pac-Attack;paca
Pac-Man 2 - The New Adventures;pacm2
Pagemaster;page
Packy and Marlon;pam
Parodius Da!;pd
Pirates of Dark Water;pdw
Popeye - Ijiwaru Majo Sea Hag No Maki;peye
Pitfall - The Mayan Adventure;pfma
PGA Tour '96;pga96
PGA European Tour;pgae
PGA Tour Golf;pgat
Phalanx;phlnx
Power Instinct;pi
Pieces (Jigsaw Party);piece
Power Piggs of the Dark Ages;piggs
Pikiinya!;piki
Pink Goes to Hollywood;pink
Pinocchio;pino
Pipe Dream;pipe
Poko-Nyan!;pkn
Plok!;plok
Power Lode Runner;plr
Prehistorik Man;pman
Pachinko Maruhi Hisshouhou;pmh
Pro Mahjong Kiwame;pmk
Pro Mahjong Kiwame 2;pmk2
